case,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
RBC,p,PirateNet,2.992478130181553e-06,0.001729878131300211,0.0015978593146428466,0.20758536458015442,0.03431163355708122,0.005137249827384949,0.0015978593146428466,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,p,PirateNet,1.3172259514249163e-06,0.0011477046646177769,0.0008760180789977312,0.13772454857826233,0.02276439033448696,0.0038945749402046204,0.0008760180789977312,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,p,PirateNet,7.168589218053967e-05,0.008466752246022224,0.00685917166993022,1.0160102844238281,0.16793560981750488,0.022423505783081055,0.00685917166993022,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,T,PINN,1.1820636245829519e-05,0.0034381153527647257,0.0025513693690299988,0.41257384419441223,0.006934011820703745,0.024445436894893646,0.0025513693690299988,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,T,PINN,1.9769640857703052e-05,0.004446306265890598,0.0037605285178869963,0.5335566997528076,0.008967336267232895,0.012971162796020508,0.0037605285178869963,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,T,PINN,2.7452731956145726e-05,0.005239535588771105,0.003933252301067114,0.6287443041801453,0.010567127726972103,0.03858080506324768,0.003933252301067114,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,T,ResAtten-PINN,3.252318947488675e-06,0.0018034187378361821,0.0014767962275072932,0.21641024947166443,0.003637145971879363,0.01682344824075699,0.0014767962275072932,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,T,ResAtten-PINN,1.6735884855734184e-06,0.0012936724815517664,0.0010371071984991431,0.1552407145500183,0.002609086688607931,0.007011545822024345,0.0010371071984991431,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,T,ResAtten-PINN,1.0998767720593605e-05,0.003316438989713788,0.0024131073150783777,0.3979727029800415,0.006688614841550589,0.017653807997703552,0.0024131073150783777,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,T,LSTM-PINN,2.160818667107378e-06,0.0014699723105877638,0.001085992786101997,0.1763966828584671,0.0029646491166204214,0.009041622281074524,0.001085992786101997,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,T,LSTM-PINN,4.123251983401133e-06,0.0020305791404098272,0.00163474609144032,0.2436695545911789,0.004095285199582577,0.008867166936397552,0.00163474609144032,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
