case,time,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
Lid,steady,u,PINN,1.323103106187773e-06,0.0011502621901930763,0.0008237158181145787,0.138031467795372,0.0784911078488094,0.0033376484643667936,0.0008237158181145787,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\PINN\metrics\field_metrics.csv
Lid,steady,u,ResAtten-PINN,2.2165383484207268e-07,0.00047080126894696525,0.0004204007564112544,0.05649615079164505,0.032126337100200644,0.0009245977271348238,0.0004204007564112544,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\ResAtten-PINN\metrics\field_metrics.csv
Lid,steady,u,LSTM-PINN,1.3986678482069692e-08,0.00011826528857644449,9.776164370123297e-05,0.014191834256052971,0.008070136548976333,0.0002724453806877136,9.776164370123297e-05,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\LSTM-PINN\metrics\field_metrics.csv
Lid,steady,u,DP-PINN,1.630921815376496e-07,0.00040384673025499365,0.0003215717733837664,0.04846160486340523,0.02755752086545197,0.0012339651584625244,0.0003215717733837664,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\DP-PINN\metrics\field_metrics.csv
Lid,steady,u,Causal-PINN,3.788280810113065e-05,0.006154901144708227,0.005255322903394699,0.7385880351066589,0.4199954839670315,0.013753160834312439,0.005255322903394699,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\Causal-PINN\metrics\field_metrics.csv
Lid,steady,u,Param-ANN-PINN,1.3554240752000624e-07,0.00036816084463180793,0.00028598622884601355,0.04417930170893669,0.025122404264091333,0.0012999773025512695,0.00028598622884601355,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\Parameter-ANN-PINN\metrics\field_metrics.csv
Lid,steady,u,PirateNet,2.2165383484207268e-07,0.00047080126894696525,0.0004204007564112544,0.05649615079164505,0.032126337100200644,0.0009245977271348238,0.0004204007564112544,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\PirateNet\metrics\field_metrics.csv
Lid,steady,v,PINN,9.496982329437742e-07,0.0009745246189521198,0.0007548888679593801,0.11694294959306717,0.07296279965761289,0.0024651624262332916,0.0007548888679593801,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\PINN\metrics\field_metrics.csv
Lid,steady,v,ResAtten-PINN,1.4794395042372344e-07,0.000384634827367106,0.0003035152330994606,0.046156179159879684,0.028797666423857997,0.0010290537029504776,0.0003035152330994606,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\ResAtten-PINN\metrics\field_metrics.csv
Lid,steady,v,LSTM-PINN,5.997696916892892e-08,0.00024490195827908136,0.00019835149578284472,0.02938823588192463,0.01833584644824673,0.0007442561909556389,0.00019835149578284472,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\LSTM-PINN\metrics\field_metrics.csv
Lid,steady,v,DP-PINN,2.3730125064957974e-07,0.0004871357620310582,0.0003874056856147945,0.058456290513277054,0.036471926082667444,0.001165539026260376,0.0003874056856147945,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\DP-PINN\metrics\field_metrics.csv
Lid,steady,v,Causal-PINN,1.8014576198766008e-05,0.004244358160990423,0.003569421824067831,0.5093229413032532,0.3177757005159247,0.00900171883404255,0.003569421824067831,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\Causal-PINN\metrics\field_metrics.csv
Lid,steady,v,Param-ANN-PINN,4.38611635900088e-07,0.0006622776124104513,0.0005705280345864594,0.07947331666946411,0.049584824929231136,0.0017224419862031937,0.0005705280345864594,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\Parameter-ANN-PINN\metrics\field_metrics.csv
Lid,steady,v,PirateNet,1.4794395042372344e-07,0.000384634827367106,0.0003035152330994606,0.046156179159879684,0.028797666423857997,0.0010290537029504776,0.0003035152330994606,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\PirateNet\metrics\field_metrics.csv
Lid,steady,p,PINN,1.0502173608983867e-05,0.003240705726995876,0.0030500544235110283,0.38888469338417053,0.006535877199733848,0.0074600279331207275,0.0030500544235110283,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\PINN\metrics\field_metrics.csv
Lid,steady,p,ResAtten-PINN,4.17744786318508e-06,0.002043880589267651,0.0017567399190738797,0.2452656775712967,0.00412211222808895,0.004084717482328415,0.0017567399190738797,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\ResAtten-PINN\metrics\field_metrics.csv
Lid,steady,p,LSTM-PINN,4.133163656661054e-06,0.00203301836112246,0.0017839254578575492,0.24396219849586487,0.004100205016737156,0.00322878360748291,0.0017839254578575492,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\LSTM-PINN\metrics\field_metrics.csv
Lid,steady,p,DP-PINN,5.922797896573684e-08,0.00024336799084049004,0.00021540846501011401,0.02920416370034218,0.0004908262806780115,0.0009107664227485657,0.00021540846501011401,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\DP-PINN\metrics\field_metrics.csv
Lid,steady,p,Causal-PINN,3.439275315031409e-05,0.005864533498098045,0.00476167444139719,0.703744113445282,0.011827632158744036,0.015372304245829582,0.00476167444139719,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\Causal-PINN\metrics\field_metrics.csv
Lid,steady,p,Param-ANN-PINN,4.104978415853111e-06,0.002026074632350228,0.001735031371936202,0.2431289553642273,0.004086200930491146,0.004522440489381552,0.001735031371936202,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\Parameter-ANN-PINN\metrics\field_metrics.csv
Lid,steady,p,PirateNet,4.17744786318508e-06,0.002043880589267651,0.0017567399190738797,0.2452656775712967,0.00412211222808895,0.004084717482328415,0.0017567399190738797,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\PirateNet\metrics\field_metrics.csv
Lid,steady,speed,PINN,1.4007088111611665e-06,0.001183515446101641,0.0009717164211906493,0.14202184975147247,0.05968870918963597,0.003277245443314314,0.0009717164211906493,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\PINN\metrics\field_metrics.csv
Lid,steady,speed,ResAtten-PINN,2.50707387294824e-07,0.0005007068876047383,0.0004265473398845643,0.06008482724428177,0.025252352270931238,0.0012841131538152695,0.0004265473398845643,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\ResAtten-PINN\metrics\field_metrics.csv
Lid,steady,speed,LSTM-PINN,5.014786452761655e-08,0.00022393718879993235,0.00017824587121140212,0.026872463524341583,0.011293914727349162,0.0007374333217740059,0.00017824587121140212,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\Lid算例\Lid\LSTM-PINN\metrics\field_metrics.csv
